id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:plant number (from tag or map),field:plant health condition,field:foliage - insect feeding,field:foliage - deformation,field:foliage health comments,field:woody tissue -  structural damage,field:woody tissue - signs of disease,field:woody tissue - insect activity,field:woody tissue - symptoms,field:woody tissues health comments,field:root collar - signs of disease,field:root collar health comments,field:critical root zone (within canopy drip line) - damage or concerns,field:other abnormalities comments,field:are baby redcedar trees present within sight?,field:brief tree health description,field:did the tree have any bark discoloration (eg. browning),field:dieback percent,field:evidence of wood borers or bark beetles?,field:leaf production or drop timing,field:location name - community spaces,field:location type - community spaces,field:most prevalent understory species,field:number of additional unhealthy trees (of same species) in area (within sight),field:optional - access to water,field:optional - estimated time spent to make this observation (# of minutes),field:optional - signs of sap sucker feeding?,field:optional - tree size,field:optional - what 'other factors' were observed?,"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:percent canopy affected (%),field:powdery mildew - percent coverage,field:powdery mildew?,field:sample submitted to laboratory?,field:signs of sooty bark disease?,field:suspected phytophthora infection?,field:tree canopy symptoms,field:tree canopy symptoms - birch,field:tree canopy symptoms - maple,field:tree canopy symptoms - wrc - simplified,field:tree condition,field:tree diameter,field:tree diameter (inches),field:tree equity score,field:tree health condition,field:tree health issue,field:tree height total (ft),field:tree number,field:tree number (from google map) if applicable,field:urban tree health condition
345549023,777973ae-49fd-4142-9cd8-5158d4598c71,2026-03-27,2026-03-27,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-03-27 21:31:19 UTC,2026-03-27 21:38:08 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/345549023,https://inaturalist-open-data.s3.amazonaws.com/photos/629749279/medium.jpg,,"","",0,0,true,,"3600, Port of Tacoma RD",47.245161,-122.387528,183,,,,183,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,Grand Fir,Abies grandis,grand fir,Plantae,63690,8-6,Dead,None,None,No foliage,Other,None,None,Other,It seems as though this tree is dead.,None,Tree seems dead but did not see any roots nor the root collar,Other,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345565404,b35be14c-ebbb-440a-805b-8e8dad76318e,2026-03-27,2026-03-27,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-03-27 23:08:31 UTC,2026-03-27 23:09:34 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/345565404,https://inaturalist-open-data.s3.amazonaws.com/photos/629781894/medium.jpg,,"","",0,0,true,,"3600, Port of Tacoma RD",47.245161,-122.387528,183,,,,183,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,Western Hemlock,Tsuga heterophylla,western hemlock,Plantae,48254,7-4,Poor,Other,High,Foliage for this tree seems to be dying. Many are browning while some are yellowing. Very few healthy looking pines,None,Not Sure,None,None,N/A,Not Sure,Could not see root collar.,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345582412,bb785c33-7ecf-4b59-9abd-5e5912e95a9d,2026-03-27,2026-03-27,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-03-28 01:02:03 UTC,2026-03-28 01:03:11 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/345582412,https://inaturalist-open-data.s3.amazonaws.com/photos/629818500/medium.jpg,,"","",0,0,true,,3600 port of tacoma rd,47.245161,-122.387528,183,,,,183,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,Douglas Fir,Pseudotsuga menziesii,Douglas-fir,Plantae,48256,POT 15-3,Poor,None,Medium,"Good amount of foliage is browning, some branches have no foliage while some have healthy, green foliage.",Other,Cankers,None,Bark Loss,Two cankers were noted.,Not Sure,Did not see root collar,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345587965,9fc31217-56b0-41b5-a5c8-8507cecd1983,2026-03-27,2026-03-27,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-03-28 01:43:50 UTC,2026-04-07 19:44:16 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/345587965,https://inaturalist-open-data.s3.amazonaws.com/photos/629829896/medium.jpg,,"","",1,0,true,,3600 port of tacoma rd,47.245161,-122.387528,183,,,,183,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,POT 12-4,Dead,None,High,"While there is foliage, it is all dead.",Other,Split Bark,Exit/Entry Holes,Bark Loss,Many holes indicating a boring insect,Other,Entire tree is out of ground. Roots and root collar is completely dead/dried,Mechanical Damage,"It seems like a person did this, or it simply was not planted properly. There seems to be a clean cut on the top of the tree.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352360124,7fbaa92b-7dd8-40ef-acc1-eea7402ec81c,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 20:34:28 UTC,2026-04-23 21:50:40 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352360124,https://inaturalist-open-data.s3.amazonaws.com/photos/643117002/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.192121,-122.325667,45,,,,45,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,WSUP 20-6,Good,None,None,"Foliage looks healthy, actively growing",None,None,None,None,Tissue looks relatively healthy,None,Root collar also looks healthy,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352364244,f911bca3-d7e0-46df-b574-f1d26ee3c800,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 20:49:58 UTC,2026-04-23 20:53:02 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352364244,https://inaturalist-open-data.s3.amazonaws.com/photos/643124775/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.192036,-122.325542,45,,,,45,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Western Hemlock,Tsuga heterophylla,western hemlock,Plantae,48254,WSUP 21-5,Good,None,None,"A lot more foliage growing on bottom section of tree. Otherwise, looks healthy.",None,None,None,None,Tissue looked healthy. No obvious signs of damage.,None,Did not notice any damage/disease to root collar.,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352370228,440792f2-1ddb-4321-9c7f-316a7dad546c,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 21:11:41 UTC,2026-04-23 21:51:41 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352370228,https://inaturalist-open-data.s3.amazonaws.com/photos/643136799/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.191952,-122.325366,45,,,,45,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Shore Pine,Pinus contorta contorta,Shore Pine,Plantae,80130,WSUP 22-6,Fair,None,Low,Overall foliage looks healthy. Few spots are showing yellowing pines.,None,None,None,None,Tissue looks healthy overall despite some foliage looking unhealthy.,None,I did not notice any damage/signs of disease near or at the root collar,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352372001,7a72bca3-67ff-47ee-ac1a-09faaf2080a1,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 21:18:36 UTC,2026-04-23 21:38:24 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352372001,https://inaturalist-open-data.s3.amazonaws.com/photos/643139919/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.191888,-122.325328,45,,,,45,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Shore Pine,Pinus contorta contorta,Shore Pine,Plantae,80130,WSUP 22-2,Poor,None,Medium,Foliage is yellowing. Some pines are dead or brown,Cracking,Split Bark,None,Bark Loss,Several sections of the tree showed signs of tissue damage. Particularly in bark either cracking or falling off.,None,I did not notice anything specific with the root collar.,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352376772,821dbac0-bc6e-4aec-b95e-9ff04eaa10b9,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 21:36:29 UTC,2026-04-23 21:37:32 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352376772,https://inaturalist-open-data.s3.amazonaws.com/photos/643148263/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.191935,-122.32528,45,,,,45,,,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Elms,Ulmus,Europese Olmbome,Plantae,53549,WSUP 23-3,Good,None,None,Foliage looks healthy and is growing.,None,None,None,None,Tissue looks to be healthy.,None,Root collar does not show any noticeable signs of disease,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352387351,e0bfdab8-3304-4551-baa0-bfabe92a0259,2026-04-22,2026-04-22,,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-04-23 22:18:24 UTC,2026-04-23 22:19:33 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/352387351,https://inaturalist-open-data.s3.amazonaws.com/photos/643167974/medium.jpg,,"","",0,0,true,,Washington State University Puyallup,47.192077,-122.325752,43,,,,43,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,Grand Fir,Abies grandis,grand fir,Plantae,63690,WSUP 25-6,Poor,None,Low,"Majority of foliage is yellowing/browning. Some areas are healthier than others as some growth remains,",Other,Split Bark,None,Bark Loss,Did not notice any insect feeding/activity but certain portions have lost noticeable amounts of bark.,None,Did not notice any signs of damage on or in root collar.,None,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357263852,8254e9db-98d3-4a48-be5d-d0b6dda4ff0c,2026-05-01 11:42:17-07:00,2026-05-01,2026-05-01 18:42:17 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2026-05-01 18:48:26 UTC,2026-05-01 18:49:02 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/357263852,https://inaturalist-open-data.s3.amazonaws.com/photos/651591442/medium.jpg,,"","",0,0,true,3,"21st St NW, Puyallup, WA, US",47.1935050839,-122.3265750075,148,,,,148,,,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",,,,,"",Poor,None,None,"New foliage, but only from base",No Selection,Lesions,Exit/Entry Holes,Epicormic shoots,"Many dead branch tips, one had insect hole on tip",None,"Looks fine, mulch contact",None,Late bud burst maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357269726,6f593515-881a-44e9-935c-e2d790989f13,2026-05-01 11:57:47-07:00,2026-05-01,2026-05-01 18:57:47 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2026-05-01 19:05:41 UTC,2026-05-01 19:07:37 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/357269726,https://inaturalist-open-data.s3.amazonaws.com/photos/651601673/medium.jpg,,"","",0,0,true,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.1930493601,-122.3278331851,4,,,,4,,,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Pseudotsuga,Douglas-firs,Plantae,48257,WSUP 25-6,Poor,None,Low,Dead branches likely from deer rub,Other,None,None,None,Mechanical wounds from deer rub,None,Looks good,None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358666042,7c3789a0-0c1e-4ea1-9ec1-c17116173183,2026-05-05 10:03:37-07:00,2026-05-05,2026-05-05 17:03:37 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 17:19:24 UTC,2026-05-05 17:29:52 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/358666042,https://inaturalist-open-data.s3.amazonaws.com/photos/654323046/medium.jpg,,"","",0,0,true,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.1935116667,-122.3275716667,7,,,,7,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Malus fusca,Pacific Crab Apple,Plantae,77948,WSUP 1-1,Fair,None,Medium,"Foliage is sprouting later than others, no flower bloom. Leaves are smaller than nearby plants.",Cracking,None,None,Bark Loss,All near root collar. Some bark loss and cracking of bark.,None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358671593,d139fe72-7de7-4016-8a05-97230163ac07,2026-05-05 10:16:06-07:00,2026-05-05,2026-05-05 17:16:06 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 17:38:42 UTC,2026-05-05 18:03:15 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/358671593,https://inaturalist-open-data.s3.amazonaws.com/photos/654328845/medium.jpg,,"","",0,0,true,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.1934916667,-122.3275666667,13,,,,13,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Malus fusca,Pacific Crab Apple,Plantae,77948,WSUP 1-2,Fair,Medium,Medium,Many leaves show signs of insect feeding. Potential bacterial infection.,None,Cankers,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358675362,a1e7635d-5410-4653-86db-12bcfc2a5d42,2026-05-05 10:39:10-07:00,2026-05-05,2026-05-05 17:39:10 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 17:52:10 UTC,2026-05-05 17:55:46 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/358675362,https://inaturalist-open-data.s3.amazonaws.com/photos/654336332/medium.jpg,,"","",0,0,true,3,"21st St NW, Puyallup, WA, US",47.1935166835,-122.3266014116,30,,,,30,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Malus fusca,Pacific Crab Apple,Plantae,77948,WSUP 1-4,Fair,Low,Medium,Minimal insect feeding. Foliage is sprouting later than other crab apples. Also has sticky substance causing some leaves to stick together.,None,None,None,Bark Loss,Some bark loss near root collar.,None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358681200,6e0c35a1-b0d3-44e2-b320-c6cb60664ed8,2026-05-05 11:03:38-07:00,2026-05-05,2026-05-05 18:03:38 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 18:11:34 UTC,2026-05-05 18:24:34 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/358681200,https://inaturalist-open-data.s3.amazonaws.com/photos/654346950/medium.jpg,,"","",0,0,true,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.1934383333,-122.32753,8,,,,8,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Malus fusca,Pacific Crab Apple,Plantae,77948,WSUP 1-6,Poor,Medium,Medium,"",Cracking,Split Bark,Exit/Entry Holes,Epicormic shoots,"Alongside epicormic shoots, there’s bark loss",Other,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358682993,68340021-ce11-410d-8c6f-be182cd0530d,2026-05-05 11:11:57-07:00,2026-05-05,2026-05-05 18:11:57 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 18:16:55 UTC,2026-05-05 18:28:42 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358682993,https://inaturalist-open-data.s3.amazonaws.com/photos/654353405/medium.jpg,,"","",0,0,false,3,"21st St NW, Puyallup, WA, US",47.1935644226,-122.3264867712,246,,,,246,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Pinus contorta contorta,Shore Pine,Plantae,80130,WSUP 2-1,Fair,Low,No Selection,One branch has no foliage. Some needles are yellowing.,None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358685946,53cd0c61-9bcc-49b6-a325-8ed00c1ede48,2026-05-05 11:17:08-07:00,2026-05-05,2026-05-05 18:17:08 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 18:27:42 UTC,2026-05-05 18:44:17 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358685946,https://inaturalist-open-data.s3.amazonaws.com/photos/654355959/medium.jpg,,"","",0,0,false,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.1935621641,-122.3275261773,95,,,,95,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Pinus contorta contorta,Shore Pine,Plantae,80130,WSUP 2-2,Fair,Low,Low,Cannot tell if they are feeding but there’s a wasps nest alongside a spiderweb.,No Selection,Oozing,None,Excess Pitch or Sap,A lot of what seems to be dried sap near where bark is cracking.,None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358690574,4e713d89-64dc-449d-b1d6-5f1ea1a51030,2026-05-05 11:24:02-07:00,2026-05-05,2026-05-05 18:24:02 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 18:43:17 UTC,2026-05-05 19:12:19 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/358690574,https://inaturalist-open-data.s3.amazonaws.com/photos/654364472/medium.jpg,,"","",0,0,true,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.1935838722,-122.3275025438,8,,,,8,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Pinus contorta contorta,Shore Pine,Plantae,80130,WSUP 2-3,Good,None,None,"",None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358691318,66106bee-578e-462b-9e99-3e6db192d70a,2026-05-05 11:28:29-07:00,2026-05-05,2026-05-05 18:28:29 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 18:46:06 UTC,2026-05-05 18:49:44 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/358691318,https://inaturalist-open-data.s3.amazonaws.com/photos/654365517/medium.jpg,,"","",0,0,true,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.1936052707,-122.3274576936,9,,,,9,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Pinus contorta contorta,Shore Pine,Plantae,80130,WSUP 2-4,Good,None,None,"",None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358692222,313a4201-c535-4d08-9b11-a53233e42988,2026-05-05 11:38:54-07:00,2026-05-05,2026-05-05 18:38:54 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 18:49:35 UTC,2026-05-05 19:15:33 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358692222,https://inaturalist-open-data.s3.amazonaws.com/photos/654379633/medium.jpg,,"","",0,0,false,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.193565729,-122.3274654972,8,,,,8,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Pinus contorta contorta,Shore Pine,Plantae,80130,WSUP 2-5,Good,None,None,Foliage looks healthy despite some insects.,None,None,No Selection,No Selection,"",No Selection,"",No Selection,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358698893,0db8452b-d151-491a-af22-8104000143a8,2026-05-05 11:46:49-07:00,2026-05-05,2026-05-05 18:46:49 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 19:14:32 UTC,2026-05-05 19:51:20 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358698893,https://inaturalist-open-data.s3.amazonaws.com/photos/654398293/medium.jpg,,"","",0,0,false,3,"Puyallup, WA, US",47.1935305356,-122.3272539603,27,,,,27,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Pinus contorta contorta,Shore Pine,Plantae,80130,WSUP 2-6,Good,None,None,"",None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358699536,99efd574-74da-4798-8746-84bd77861932,2026-05-05 12:02:11-07:00,2026-05-05,2026-05-05 19:02:11 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 19:16:56 UTC,2026-05-05 19:51:53 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/358699536,https://inaturalist-open-data.s3.amazonaws.com/photos/654384978/medium.jpg,,"","",0,0,true,3,"21st St NW, Puyallup, WA, US",47.1931748955,-122.3273755764,8,,,,8,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Fraxinus latifolia,Oregon Ash,Plantae,63878,WSUP 18-1,Fair,None,Low,I did notice some insects on foliage but no signs of feeding. One leaf is curling.,None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358701130,70a71411-1ef2-4ecc-b6f7-f7707dabf5de,2026-05-05 12:09:21-07:00,2026-05-05,2026-05-05 19:09:21 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 19:24:11 UTC,2026-05-05 19:35:08 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358701130,https://inaturalist-open-data.s3.amazonaws.com/photos/654389509/medium.jpg,,"","",0,0,false,3,"Puyallup, WA, US",47.1931340406,-122.3273407367,45,,,,45,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Fraxinus latifolia,Oregon Ash,Plantae,63878,WSUP 18-2,Fair,High,Medium,Many insects can be found where leaves are noticeably curling and wilting.,None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358703997,41d2e2be-705d-4479-94ad-cb482dd4793c,2026-05-05 12:14:18-07:00,2026-05-05,2026-05-05 19:14:18 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 19:34:08 UTC,2026-05-05 19:52:23 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358703997,https://inaturalist-open-data.s3.amazonaws.com/photos/654399162/medium.jpg,,"","",0,0,false,3,"Tacoma Rd E, Puyallup, WA, US",47.1927658812,-122.3282294385,145,,,,145,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Fraxinus latifolia,Oregon Ash,Plantae,63878,WSUP 18-3,Fair,Low,Low,Minimal insect feeding/deformation of leaves. Couple of click beetles.,None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358708624,ce2bd4f0-65fc-44af-a6a3-028ae9cd9a19,2026-05-05 12:22:18-07:00,2026-05-05,2026-05-05 19:22:18 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 19:51:25 UTC,2026-05-05 19:53:01 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358708624,https://inaturalist-open-data.s3.amazonaws.com/photos/654399498/medium.jpg,,"","",0,0,false,3,"21st St NW, Puyallup, WA, US",47.1931913099,-122.3273250385,44,,,,44,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Fraxinus latifolia,Oregon Ash,Plantae,63878,WSUP 18-4,Fair,Low,None,"",None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358708766,80eacfa0-d439-42b4-b0c8-af9432f0b2df,2026-05-05 12:27:29-07:00,2026-05-05,2026-05-05 19:27:29 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 19:51:59 UTC,2026-05-05 19:53:28 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358708766,https://inaturalist-open-data.s3.amazonaws.com/photos/654399866/medium.jpg,,"","",0,0,false,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.1931710972,-122.327311733,65,,,,65,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Fraxinus latifolia,Oregon Ash,Plantae,63878,WSUP 18-5,Fair,Low,None,"",None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358708858,f475f927-77a3-46a6-b458-fe6e5b2a0d28,2026-05-05 12:31:05-07:00,2026-05-05,2026-05-05 19:31:05 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 19:52:28 UTC,2026-05-05 19:53:58 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358708858,https://inaturalist-open-data.s3.amazonaws.com/photos/654400127/medium.jpg,,"","",0,0,false,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.193153947,-122.3273297651,6,,,,6,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Fraxinus latifolia,Oregon Ash,Plantae,63878,WSUP 18-6,Fair,Medium,Medium,"",None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358727749,2f2abac5-ec88-49b4-ae15-c2674de804cc,2026-05-05 13:56:24-07:00,2026-05-05,2026-05-05 20:56:24 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 21:00:31 UTC,2026-05-05 21:03:42 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358727749,https://inaturalist-open-data.s3.amazonaws.com/photos/654437390/medium.jpg,,"","",0,0,false,3,"Washington State University - Puyallup Research and Extension Center, Puyallup, WA, US",47.1932262839,-122.3274334595,15,,,,15,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Populus trichocarpa,black cottonwood,Plantae,78699,WSUP 17-1,Fair,Medium,Low,"",None,Cankers,None,None,"",No Selection,"",No Selection,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358728900,e152c4e9-98b3-442b-bd6c-94fd21213a0b,2026-05-05 14:00:49-07:00,2026-05-05,2026-05-05 21:00:49 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-05 21:05:12 UTC,2026-05-05 21:07:02 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/358728900,https://inaturalist-open-data.s3.amazonaws.com/photos/654439845/medium.jpg,,"","",0,0,false,3,"Puyallup, WA, US",47.1931627511,-122.3274490139,7,,,,7,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,"",Populus trichocarpa,black cottonwood,Plantae,78699,WSUP 17-2,Fair,Low,Low,"",None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
